Journal	ISSN	eISSN	Category	IF(2024)	IF Quartile(2024)	IF Rank(2024)	id
JOURNAL OF URBAN TECHNOLOGY	1063-0732	1466-1853	URBAN STUDIES(SSCI)	4.4	1	10/76	10802
Journal of Central South University	2095-2899	2227-5223	METALLURGY & METALLURGICAL ENGINEERING(SCIE)	4.4	1	19/96	10803
Journal of Service Theory and Practice	2055-6225	2055-6225	BUSINESS(SSCI);MANAGEMENT(SSCI)	4.4	2	114/420	10804
Physical Review Applied	2331-7019	2331-7019	"PHYSICS, APPLIED(SCIE)"	4.4	2	56/187	10805
Quantum Machine Intelligence	2524-4906	2524-4914	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI);QUANTUM SCIENCE & TECHNOLOGY(ESCI)"	4.4	2	64/204	10806
IEEE Journal of Translational Engineering in Health and Medicine	2168-2372	2168-2372	"ENGINEERING, BIOMEDICAL(SCIE)"	4.4	2	41/124	10807
Biomedical Journal	2319-4170	2320-2890	"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	4.4	2	89/319	10808
Hepatobiliary & Pancreatic Diseases International	1499-3872	2352-9377	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	4.4	1	28/147	10809
COMPUTERS & GEOSCIENCES	0098-3004	1873-7803	"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)"	4.4	1	39/258	10810
Food Quality and Safety	2399-1399	2399-1402	FOOD SCIENCE & TECHNOLOGY(SCIE)	4.4	2	50/181	10811
HUMAN-COMPUTER INTERACTION	0737-0024	1532-7051	"COMPUTER SCIENCE, CYBERNETICS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)"	4.4	1	26/147	10812
PLANT DISEASE	0191-2917	1943-7692	PLANT SCIENCES(SCIE)	4.4	1	41/273	10813
EXPERT OPINION ON THERAPEUTIC TARGETS	1472-8222	1744-7631	PHARMACOLOGY & PHARMACY(SCIE)	4.4	1	67/352	10814
CURRENT OPINION IN NEUROLOGY	1350-7540	1473-6551	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	4.4	1	45/285	10815
Skeletal Muscle	2044-5040	2044-5040	CELL BIOLOGY(SCIE)	4.4	2	79/204	10816
Advanced Materials Interfaces	2196-7350	2196-7350	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	4.4	2	79/239	10817
IEEE Transactions on Human-Machine Systems	2168-2291	2168-2305	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, CYBERNETICS(SCIE)"	4.4	2	45900	10818
ACS Organic & Inorganic Au	2694-247X	2694-247X	"CHEMISTRY, MULTIDISCIPLINARY(ESCI)"	4.4	2	79/239	10819
ESIC Market	0212-1867	1989-3574	BUSINESS(ESCI)	4.4	2	97/316	10820
International Journal of Polymer Science	1687-9422	1687-9430	POLYMER SCIENCE(SCIE)	4.4	2	28/94	10821
JOURNAL OF SUPERCRITICAL FLUIDS	0896-8446	1872-8162	"CHEMISTRY, PHYSICAL(SCIE);ENGINEERING, CHEMICAL(SCIE)"	4.4	2	53/175	10822
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS	1552-4868	1552-4876	GENETICS & HEREDITY(SCIE)	4.4	1	34/191	10823
Transcription-Austin	2154-1264	2154-1272	BIOCHEMISTRY & MOLECULAR BIOLOGY(ESCI)	4.4	2	89/319	10824
Advanced NanoBiomed Research	2699-9307	2699-9307	"ENGINEERING, BIOMEDICAL(ESCI);MATERIALS SCIENCE, BIOMATERIALS(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI)"	4.4	2	41/124	10825
Annual Review of Linguistics	2333-9691	2333-9691	LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI)	4.3	1	13/303	10826
Annual Review of Applied Linguistics	0267-1905	1471-6356	LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI)	4.3	1	13/303	10827
Applied and Computational Mathematics	1683-3511	1683-6154	"MATHEMATICS, APPLIED(SCIE)"	4.3	1	4/343	10828
EXCEPTIONAL CHILDREN	0014-4029	2163-5560	"EDUCATION, SPECIAL(SSCI);REHABILITATION(SSCI)"	4.3	1	1/62	10829
International Journal of Press-Politics	1940-1612	1940-1620	COMMUNICATION(SSCI);POLITICAL SCIENCE(SSCI)	4.3	1	12/227	10830
NEW MEDIA & SOCIETY	1461-4448	1461-7315	COMMUNICATION(SSCI)	4.3	1	12/227	10831
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME	0021-9355	1535-1386	ORTHOPEDICS(SCIE);SURGERY(SCIE)	4.3	1	23/312	10832
Industrial and Organizational Psychology	1754-9426	1754-9434	"PSYCHOLOGY, APPLIED(SSCI)"	4.3	1	18/115	10833
Journal of NeuroInterventional Surgery	1759-8478	1759-8486	NEUROIMAGING(SCIE);SURGERY(SCIE)	4.3	1	23/312	10834
PRIMARY CARE	0095-4543	1558-299X	"MEDICINE, GENERAL & INTERNAL(SCIE);PRIMARY HEALTH CARE(SCIE)"	4.3	1	39/332	10835
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY	1470-0328	1471-0528	OBSTETRICS & GYNECOLOGY(SCIE)	4.3	1	10/140	10836
Journal of Economics and Development	1859-0020	2632-5330	DEVELOPMENT STUDIES(ESCI);ECONOMICS(ESCI)	4.3	1	65/617	10837
International Journal of Sports Physiology and Performance	1555-0265	1555-0273	PHYSIOLOGY(SCIE);SPORT SCIENCES(SCIE)	4.3	1	11/133	10838
Economic Change and Restructuring	1573-9414	1574-0277	ECONOMICS(SSCI)	4.3	1	65/617	10839
Family Medicine and Community Health	2305-6983	2009-8774	PRIMARY HEALTH CARE(ESCI)	4.3	1	45775	10840
AQUATIC TOXICOLOGY	0166-445X	1879-1514	MARINE & FRESHWATER BIOLOGY(SCIE);TOXICOLOGY(SCIE)	4.3	1	7/119	10841
EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS	0939-6411	1873-3441	PHARMACOLOGY & PHARMACY(SCIE)	4.3	1	69/352	10842
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY	0012-1622	1469-8749	CLINICAL NEUROLOGY(SCIE);PEDIATRICS(SCIE)	4.3	1	13/191	10843
ECONOMY AND SOCIETY	0308-5147	1469-5766	ECONOMICS(SSCI);SOCIOLOGY(SSCI)	4.3	1	7/219	10844
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES	1201-9712	1878-3511	INFECTIOUS DISEASES(SCIE)	4.3	1	24/137	10845
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY	1532-0456	1878-1659	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE);TOXICOLOGY(SCIE);ZOOLOGY(SCIE)	4.3	1	5/181	10846
Soil	2199-3971	2199-398X	SOIL SCIENCE(SCIE)	4.3	1	10/48	10847
GEOGRAPHICAL ANALYSIS	0016-7363	1538-4632	GEOGRAPHY(SSCI)	4.3	1	15/173	10848
INTERNATIONAL PSYCHOGERIATRICS	1041-6102	1741-203X	"GERIATRICS & GERONTOLOGY(SCIE);GERONTOLOGY(SSCI);PSYCHIATRY(SCIE);PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)"	4.3	1	3/48	10849
DM DISEASE-A-MONTH	0011-5029	1557-8194	"MEDICINE, GENERAL & INTERNAL(SCIE)"	4.3	1	39/332	10850
PHYSICS OF FLUIDS	1070-6631	1089-7666	"MECHANICS(SCIE);PHYSICS, FLUIDS & PLASMAS(SCIE)"	4.3	1	3/41	10851
SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH	0355-3140	1795-990X	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	4.3	1	47/419	10852
INTERNATIONAL JOURNAL OF EATING DISORDERS	0276-3478	1098-108X	"NUTRITION & DIETETICS(SCIE);PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)"	4.3	1	9/93	10853
MOLECULAR NEUROBIOLOGY	0893-7648	1559-1182	NEUROSCIENCES(SCIE)	4.3	1	71/314	10854
ECOLOGY	0012-9658	1939-9170	ECOLOGY(SCIE)	4.3	1	31/200	10855
METHODS	1046-2023	1095-9130	BIOCHEMICAL RESEARCH METHODS(SCIE);BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	4.3	1	15/86	10856
ANNALS OF MEDICINE	0785-3890	1365-2060	"MEDICINE, GENERAL & INTERNAL(SCIE)"	4.3	1	39/332	10857
Soil Ecology Letters	2662-2289	2662-2297	ECOLOGY(ESCI);SOIL SCIENCE(ESCI)	4.3	1	31/200	10858
Accounting in Europe	1744-9480	1744-9499	"BUSINESS, FINANCE(ESCI)"	4.3	1	36/241	10859
THROMBOSIS AND HAEMOSTASIS	0340-6245	2567-689X	HEMATOLOGY(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE)	4.3	1	19/98	10860
Acupuncture and Herbal Medicine	2097-0226	2765-8619	INTEGRATIVE & COMPLEMENTARY MEDICINE(ESCI)	4.3	1	7/45	10861
ECOLOGICAL APPLICATIONS	1051-0761	1939-5582	ECOLOGY(SCIE);ENVIRONMENTAL SCIENCES(SCIE)	4.3	1	31/200	10862
Egyptian Informatics Journal	1110-8665	2090-4754	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)"	4.3	2	65/258	10863
Human Genomics	1473-9542	1479-7364	GENETICS & HEREDITY(SCIE)	4.3	1	38/191	10864
Journal of Global Health	2047-2978	2047-2986	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	4.3	1	47/419	10865
Journal of Optical Communications and Networking	1943-0620	1943-0639	"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);OPTICS(SCIE);TELECOMMUNICATIONS(SCIE)"	4.3	1	12/60	10866
Translational Stroke Research	1868-4483	1868-601X	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	4.3	1	47/285	10867
INFORMATION AND SOFTWARE TECHNOLOGY	0950-5849	1873-6025	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)"	4.3	1	21/128	10868
AQUACULTURAL ENGINEERING	0144-8609	1873-5614	AGRICULTURAL ENGINEERING(SCIE);FISHERIES(SCIE)	4.3	1	6/61	10869
STRUCTURE	0969-2126	1878-4186	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOPHYSICS(SCIE);CELL BIOLOGY(SCIE)	4.3	1	13/79	10870
CANCER SCIENCE	1347-9032	1349-7006	ONCOLOGY(SCIE)	4.3	2	88/326	10871
Cognitive Computation	1866-9956	1866-9964	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);NEUROSCIENCES(SCIE)"	4.3	1	71/314	10872
European Thyroid Journal	2235-0640	2235-0802	ENDOCRINOLOGY & METABOLISM(SCIE)	4.3	2	50/191	10873
COMPUTER COMMUNICATIONS	0140-3664	1873-703X	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)"	4.3	2	65/258	10874
Tourism & Management Studies	2182-8458	2182-8466	"HOSPITALITY, LEISURE, SPORT & TOURISM(ESCI)"	4.3	1	26/139	10875
INFLAMMATORY BOWEL DISEASES	1078-0998	1536-4844	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	4.3	1	30/147	10876
JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY	1138-7548	1877-8755	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PHYSIOLOGY(SCIE)	4.3	1	11/87	10877
World Allergy Organization Journal	1939-4551	1939-4551	ALLERGY(SCIE);IMMUNOLOGY(SCIE)	4.3	2	59/183	10878
Water Science and Engineering	1674-2370	2405-8106	WATER RESOURCES(ESCI)	4.3	1	27/131	10879
CURRENT OPINION IN RHEUMATOLOGY	1040-8711	1531-6963	RHEUMATOLOGY(SCIE)	4.3	1	11/58	10880
Extractive Industries and Society	2214-790X	2214-7918	ENVIRONMENTAL STUDIES(SSCI)	4.3	2	49/191	10881
HELICOBACTER	1083-4389	1523-5378	GASTROENTEROLOGY & HEPATOLOGY(SCIE);MICROBIOLOGY(SCIE)	4.3	1	30/147	10882
EUROPEAN JOURNAL OF NUTRITION	1436-6207	1436-6215	NUTRITION & DIETETICS(SCIE)	4.3	1	26/112	10883
EXPERIMENTAL GERONTOLOGY	0531-5565	1873-6815	GERIATRICS & GERONTOLOGY(SCIE)	4.3	1	15/73	10884
JOINT BONE SPINE	1297-319X	1778-7254	RHEUMATOLOGY(SCIE)	4.3	1	11/58	10885
JOURNAL OF TECHNOLOGY TRANSFER	0892-9912	1573-7047	MANAGEMENT(SSCI)	4.3	2	119/420	10886
Structures	2352-0124	2352-0124	"ENGINEERING, CIVIL(SCIE)"	4.3	1	36/183	10887
Allergy Asthma & Immunology Research	2092-7355	2092-7363	ALLERGY(SCIE);IMMUNOLOGY(SCIE)	4.3	2	59/183	10888
Journal of Global Marketing	0891-1762	1528-6975	BUSINESS(ESCI)	4.3	2	101/316	10889
ADMET and DMPK	1848-7718	1848-7718	"CHEMISTRY, MEDICINAL(ESCI);PHARMACOLOGY & PHARMACY(ESCI)"	4.3	1	69/352	10890
Journal of Civil Structural Health Monitoring	2190-5452	2190-5479	"ENGINEERING, CIVIL(SCIE)"	4.3	1	36/183	10891
Journal of Constructional Steel Research	0143-974X	1873-5983	"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, CIVIL(SCIE)"	4.3	1	18/95	10892
MUTAGENESIS	0267-8357	1464-3804	GENETICS & HEREDITY(SCIE);TOXICOLOGY(SCIE)	4.3	1	18/106	10893
Journal of Sustainable Finance & Investment	2043-0795	2043-0809	"BUSINESS, FINANCE(ESCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(ESCI)"	4.3	1	36/241	10894
JOURNAL OF GENERAL VIROLOGY	0022-1317	1465-2099	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);VIROLOGY(SCIE)	4.3	1	8/42	10895
Bioresource Technology Reports	2589-014X	2589-014X	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(ESCI);ENERGY & FUELS(ESCI);ENVIRONMENTAL SCIENCES(ESCI)	4.3	1	42/177	10896
Frontiers in Cell and Developmental Biology	2296-634X	2296-634X	CELL BIOLOGY(SCIE);DEVELOPMENTAL BIOLOGY(SCIE)	4.3	1	5/39	10897
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY	0175-7598	1432-0614	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	4.3	1	42/177	10898
COMPUTERS & OPERATIONS RESEARCH	0305-0548	1873-765X	"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, INDUSTRIAL(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)"	4.3	1	25/106	10899
PHARMACEUTICAL RESEARCH	0724-8741	1573-904X	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)"	4.3	1	69/352	10900
2D Materials	2053-1583	2053-1583	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)"	4.3	2	57/187	10901
AUTONOMOUS ROBOTS	0929-5593	1573-7527	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ROBOTICS(SCIE)"	4.3	2	67/204	10902
CURRENT OPINION IN CELL BIOLOGY	0955-0674	1879-0410	CELL BIOLOGY(SCIE)	4.3	2	80/204	10903
INDOOR AIR	0905-6947	1600-0668	"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)"	4.3	1	47/419	10904
JOURNAL OF LIPOSOME RESEARCH	0898-2104	1532-2394	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	4.3	1	69/352	10905
DATA MINING AND KNOWLEDGE DISCOVERY	1384-5810	1573-756X	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)"	4.3	2	65/258	10906
Journal of Decision Systems	1246-0125	2116-7052	OPERATIONS RESEARCH & MANAGEMENT SCIENCE(ESCI)	4.3	1	25/106	10907
Journal of Financial Services Marketing	1363-0539	1479-1846	BUSINESS(ESCI)	4.3	2	101/316	10908
Journal of Internet Commerce	1533-2861	1533-287X	BUSINESS(ESCI)	4.3	2	101/316	10909
MACROMOLECULAR RAPID COMMUNICATIONS	1022-1336	1521-3927	POLYMER SCIENCE(SCIE)	4.3	2	30/94	10910
Water Security	2468-3124	2468-3124	WATER RESOURCES(ESCI)	4.3	1	27/131	10911
IMA Journal of Management Mathematics	1471-678X	1471-6798	"MANAGEMENT(SSCI);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE);SOCIAL SCIENCES, MATHEMATICAL METHODS(SSCI)"	4.3	1	11/136	10912
EUROPEAN JOURNAL OF CELL BIOLOGY	0171-9335	1618-1298	CELL BIOLOGY(SCIE)	4.3	2	80/204	10913
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING	0885-8624	2052-1189	BUSINESS(SSCI)	4.3	2	101/316	10914
Geoscience Letters	2196-4092	2196-4092	"GEOSCIENCES, MULTIDISCIPLINARY(SCIE);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE)"	4.3	1	42/258	10915
Particuology	1674-2001	2210-4291	"ENGINEERING, CHEMICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	4.3	2	54/175	10916
BIOCHEMICAL JOURNAL	0264-6021	1470-8728	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	4.3	2	91/319	10917
ACS Omega	2470-1343	2470-1343	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	4.3	2	81/239	10918
CHEMICAL ENGINEERING SCIENCE	0009-2509	1873-4405	"ENGINEERING, CHEMICAL(SCIE)"	4.3	2	54/175	10919
Intelligent Service Robotics	1861-2776	1861-2784	ROBOTICS(SCIE)	4.3	2	17/48	10920
CATALYSIS COMMUNICATIONS	1566-7367	1873-3905	"CHEMISTRY, PHYSICAL(SCIE)"	4.3	2	75/185	10921
APPLIED ARTIFICIAL INTELLIGENCE	0883-9514	1087-6545	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	4.3	2	105/366	10922
Chemical Physics Impact	2667-0224	2667-0224	"CHEMISTRY, PHYSICAL(ESCI)"	4.3	2	75/185	10923
Plasmonics	1557-1955	1557-1963	"CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)"	4.3	2	177/460	10924
Journal of the Association for Information Science and Technology	2330-1635	2330-1643	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI)"	4.3	1	27/166	10925
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY	1600-0889	1600-0889	METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE)	4.3	2	29/111	10926
WASTE MANAGEMENT & RESEARCH	0734-242X	1096-3669	"ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)"	4.3	2	121/374	10927
BIOCHEMICAL SOCIETY TRANSACTIONS	0300-5127	1470-8752	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	4.3	2	91/319	10928
AMERICAN JOURNAL OF SURGICAL PATHOLOGY	0147-5185	1532-0979	PATHOLOGY(SCIE);SURGERY(SCIE)	4.2	1	25/312	10929
APPLIED LINGUISTICS	0142-6001	1477-450X	LINGUISTICS(SSCI)	4.2	1	15/303	10930
AMERICAN JOURNAL OF OPHTHALMOLOGY	0002-9394	1879-1891	OPHTHALMOLOGY(SCIE)	4.2	1	12/98	10931
Animal Frontiers	2160-6056	2160-6064	"AGRICULTURE, DAIRY & ANIMAL SCIENCE(SCIE)"	4.2	1	5/86	10932
ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT	1042-1629	1556-6501	EDUCATION & EDUCATIONAL RESEARCH(SSCI)	4.2	1	45/756	10933
Australasian Journal of Educational Technology	1449-3098	1449-5554	EDUCATION & EDUCATIONAL RESEARCH(SSCI)	4.2	1	45/756	10934
POULTRY SCIENCE	0032-5791	1525-3171	"AGRICULTURE, DAIRY & ANIMAL SCIENCE(SCIE)"	4.2	1	5/86	10935
EUROPEAN JOURNAL OF POLITICAL RESEARCH	0304-4130	1475-6765	POLITICAL SCIENCE(SSCI)	4.2	1	22/322	10936
LANGUAGE LEARNING	0023-8333	1467-9922	EDUCATION & EDUCATIONAL RESEARCH(SSCI);LINGUISTICS(SSCI)	4.2	1	15/303	10937
NURSE EDUCATION TODAY	0260-6917	1532-2793	"EDUCATION, SCIENTIFIC DISCIPLINES(SCIE);NURSING(SCIE, SSCI)"	4.2	1	4/192	10938
Journal of Financial Stability	1572-3089	1878-0962	"BUSINESS, FINANCE(SSCI);ECONOMICS(SSCI)"	4.2	1	68/617	10939
Animal	1751-7311	1751-732X	"AGRICULTURE, DAIRY & ANIMAL SCIENCE(SCIE);VETERINARY SCIENCES(SCIE)"	4.2	1	7/170	10940
Journal of Neurologic Physical Therapy	1557-0576	1557-0584	CLINICAL NEUROLOGY(SCIE);REHABILITATION(SCIE)	4.2	1	8/173	10941
MEDICAL CLINICS OF NORTH AMERICA	0025-7125	1557-9859	"MEDICINE, GENERAL & INTERNAL(SCIE)"	4.2	1	42/332	10942
LABORATORY INVESTIGATION	0023-6837	1530-0307	"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);PATHOLOGY(SCIE)"	4.2	1	9/90	10943
Minerva Urology and Nephrology	2724-6051	2724-6442	UROLOGY & NEPHROLOGY(SCIE)	4.2	1	19/133	10944
JOURNAL OF GENERAL INTERNAL MEDICINE	0884-8734	1525-1497	"HEALTH CARE SCIENCES & SERVICES(SCIE);MEDICINE, GENERAL & INTERNAL(SCIE)"	4.2	1	42/332	10945
European Journal of Emergency Medicine	0969-9546	1473-5695	EMERGENCY MEDICINE(SCIE)	4.2	1	6/56	10946
CURRENT OPINION IN PHARMACOLOGY	1471-4892	1471-4973	PHARMACOLOGY & PHARMACY(SCIE)	4.2	1	75/352	10947
SCIENTIA HORTICULTURAE	0304-4238	1879-1018	HORTICULTURE(SCIE)	4.2	1	5/45	10948
COMPREHENSIVE PSYCHIATRY	0010-440X	1532-8384	"PSYCHIATRY(SCIE, SSCI)"	4.2	1	48/288	10949
JOURNAL OF AGRICULTURAL ECONOMICS	0021-857X	1477-9552	AGRICULTURAL ECONOMICS & POLICY(SCIE);ECONOMICS(SSCI)	4.2	1	5/43	10950
EUROPEAN PSYCHOLOGIST	1016-9040	1878-531X	"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	4.2	1	24/221	10951
DIVERSITY AND DISTRIBUTIONS	1366-9516	1472-4642	BIODIVERSITY CONSERVATION(SCIE);ECOLOGY(SCIE)	4.2	1	9/73	10952
ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA	0889-8529	1558-4410	ENDOCRINOLOGY & METABOLISM(SCIE)	4.2	2	52/191	10953
Business Ethics the Environment & Responsibility	2694-6416	2694-6424	BUSINESS(SSCI);ETHICS(SSCI)	4.2	1	4/77	10954
PERSONNEL REVIEW	0048-3486	1758-6933	"INDUSTRIAL RELATIONS & LABOR(SSCI);MANAGEMENT(SSCI);PSYCHOLOGY, APPLIED(SSCI)"	4.2	1	6/52	10955
THEORETICAL AND APPLIED GENETICS	0040-5752	1432-2242	AGRONOMY(SCIE);GENETICS & HEREDITY(SCIE);HORTICULTURE(SCIE);PLANT SCIENCES(SCIE)	4.2	1	5/45	10956
INTERNATIONAL JOURNAL OF ENERGY RESEARCH	0363-907X	1099-114X	ENERGY & FUELS(SCIE);NUCLEAR SCIENCE & TECHNOLOGY(SCIE)	4.2	1	1/41	10957
Dermatology and Therapy	2193-8210	2190-9172	DERMATOLOGY(SCIE)	4.2	1	12/96	10958
EXPERIMENTAL NEUROLOGY	0014-4886	1090-2430	NEUROSCIENCES(SCIE)	4.2	1	74/314	10959
Cryosphere	1994-0416	1994-0424	"GEOGRAPHY, PHYSICAL(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)"	4.2	1	11/67	10960
ICT Express	2405-9595	2405-9595	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)"	4.2	2	73/258	10961
British Food Journal	0007-070X	1758-4108	AGRICULTURAL ECONOMICS & POLICY(SCIE);FOOD SCIENCE & TECHNOLOGY(SCIE)	4.2	1	5/43	10962
CHINESE PHYSICS LETTERS	0256-307X	1741-3540	"PHYSICS, MULTIDISCIPLINARY(SCIE)"	4.2	1	25/114	10963
Environmental Toxicology and Pharmacology	1382-6689	1872-7077	ENVIRONMENTAL SCIENCES(SCIE);PHARMACOLOGY & PHARMACY(SCIE);TOXICOLOGY(SCIE)	4.2	1	21/106	10964
Personality Disorders-Theory Research and Treatment	1949-2715	1949-2723	"PSYCHOLOGY, CLINICAL(SSCI)"	4.2	1	20/185	10965
Radiology-Cardiothoracic Imaging	2638-6135	2638-6135	"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(ESCI)"	4.2	1	30/212	10966
REGIONAL STUDIES	0034-3404	1360-0591	ECONOMICS(SSCI);ENVIRONMENTAL STUDIES(SSCI);GEOGRAPHY(SSCI);REGIONAL & URBAN PLANNING(SSCI)	4.2	1	16/173	10967
IRBM	1959-0318	1876-0988	"ENGINEERING, BIOMEDICAL(SCIE)"	4.2	2	43/124	10968
BMC MICROBIOLOGY	1471-2180	1471-2180	MICROBIOLOGY(SCIE)	4.2	2	46/163	10969
HEART FAILURE REVIEWS	1382-4147	1573-7322	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	4.2	1	50/230	10970
Journal of the Franklin Institute	0016-0032	1879-2693	"AUTOMATION & CONTROL SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE)"	4.2	1	12/136	10971
Journal of Financial Reporting and Accounting	1985-2517	2042-5856	"BUSINESS, FINANCE(ESCI)"	4.2	1	38/241	10972
JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS	0340-0204	1437-4358	MECHANICS(SCIE);THERMODYNAMICS(SCIE)	4.2	1	29/171	10973
